time,symbol,side,phaseA_score,phaseB_score,threshold,reason
2026-01-02 16:00:00+00:00,XRPUSDT,LONG,-0.8720986187782398,0.03876643763343991,0.05,topk_long_below_min
2026-01-03 03:00:00+00:00,POLUSDT,LONG,-0.2384690681662525,0.03471185044862398,0.05,topk_long_below_min
2026-01-03 03:00:00+00:00,AVAXUSDT,LONG,-0.4538651025486605,0.035219453941011794,0.05,topk_long_below_min
2026-01-04 00:00:00+00:00,DOGEUSDT,LONG,-0.01945601279792758,0.031633790726434984,0.05,topk_long_below_min
2026-01-04 03:00:00+00:00,DOGEUSDT,LONG,-0.20157661361639823,0.040426157626902506,0.05,topk_long_below_min
2026-01-04 16:00:00+00:00,POLUSDT,LONG,-0.12412642167739577,0.03466830299239826,0.05,topk_long_below_min
2026-01-05 01:00:00+00:00,XRPUSDT,LONG,-0.41235624733967324,0.033073456007518216,0.05,topk_long_below_min
2026-01-05 16:00:00+00:00,XRPUSDT,LONG,-0.3640028857383596,0.032986400435858765,0.05,topk_long_below_min
2026-01-05 18:00:00+00:00,XRPUSDT,LONG,-0.6922859915320552,0.03849315900328991,0.05,topk_long_below_min
2026-01-06 14:00:00+00:00,POLUSDT,LONG,-0.14237296604850067,0.03285597400726796,0.05,topk_long_below_min
2026-01-25 16:00:00+00:00,DOGEUSDT,SHORT,0.18627021764697083,0.0325629798739639,0.0,atr_pct_too_low
2026-01-29 14:00:00+00:00,ETHUSDT,SHORT,0.18629992900207634,0.029128105533160652,0.0,atr_pct_too_low
2026-02-04 14:00:00+00:00,SOLUSDT,SHORT,0.00822706694902614,0.052435184610113254,0.05,bottomk_short_above_max
2026-02-05 01:00:00+00:00,XRPUSDT,SHORT,-0.27431444401472393,0.05126816683459115,0.05,bottomk_short_above_max
