time,symbol,side,phaseA_score,phaseB_score,size_mult,z_score,raw_signal,clipped_low,clipped_high,reason
2025-09-15 15:00:00+00:00,POLUSDT,SHORT,-0.3560359558320714,0.044915104168797744,1.0,0.0,0.0,False,False,warmup
2025-09-22 00:00:00+00:00,DOGEUSDT,SHORT,0.0003063647739602049,0.034518997200770375,1.0,0.0,0.0,False,False,warmup
2025-09-24 03:00:00+00:00,SOLUSDT,SHORT,-0.5505789626351991,0.04689942015318918,1.0,0.0,0.0,False,False,warmup
2025-09-25 04:00:00+00:00,POLUSDT,SHORT,-0.054062077111789536,0.03858211017936773,1.0,0.0,0.0,False,False,warmup
2025-09-25 11:00:00+00:00,LINKUSDT,SHORT,-0.0887025208683763,0.04344379128189943,1.0,0.0,0.0,False,False,warmup
2025-10-13 08:00:00+00:00,BNBUSDT,LONG,0.13065482682854132,0.06530597851755023,1.0,0.0,0.0,False,False,warmup
2025-10-16 20:00:00+00:00,XRPUSDT,SHORT,0.16085125594310398,0.04097170106554205,0.9534235130542863,-0.1552549564857122,0.9534235130542863,False,False,ok
2025-10-22 21:00:00+00:00,ETHUSDT,SHORT,-0.01614180544045396,0.03485608380548592,0.7,-1.6239411478565817,0.5128176556430255,True,False,ok
2025-10-30 12:00:00+00:00,ETHUSDT,SHORT,-0.12428852404736551,0.03949205401704789,0.9259502084365347,-0.24683263854488424,0.9259502084365347,False,False,ok
2025-11-03 03:00:00+00:00,BNBUSDT,SHORT,0.025642539329757547,0.03322958237559372,0.7,-1.7183326706243218,0.48450019881270345,True,False,ok
2025-11-13 17:00:00+00:00,BNBUSDT,SHORT,-0.09456353853346046,0.0362231093014494,0.7746986319650813,-0.7510045601163957,0.7746986319650813,False,False,ok
2025-11-16 16:00:00+00:00,XRPUSDT,SHORT,0.1505697523944392,0.041737894097325534,1.163176622309418,0.5439220743647268,1.163176622309418,False,False,ok
2025-11-21 02:00:00+00:00,BTCUSDT,SHORT,-0.4044850375278521,0.035088865714001154,0.7,-1.0319534409979265,0.690413967700622,True,False,ok
2025-12-01 00:00:00+00:00,AVAXUSDT,SHORT,-1.2720725302744924,0.0461229333463318,1.3,1.6174634148882763,1.4852390244664828,False,True,ok
2025-12-05 16:00:00+00:00,LTCUSDT,SHORT,-0.27392649235462657,0.0350460792201744,0.7,-1.026823814376588,0.6919528556870236,True,False,ok
2025-12-11 14:00:00+00:00,AVAXUSDT,SHORT,0.05380402101330117,0.03818552746384326,0.9217635992794244,-0.2607880024019187,0.9217635992794244,False,False,ok
2025-12-14 17:00:00+00:00,DOGEUSDT,SHORT,0.19746557973681084,0.03278298655471925,0.7,-1.4837176892249009,0.5548846932325298,True,False,ok
2025-12-15 15:00:00+00:00,BTCUSDT,SHORT,-0.16435184792840224,0.03555228957763629,0.779426125637039,-0.735246247876537,0.779426125637039,False,False,ok
2026-01-12 12:00:00+00:00,LTCUSDT,SHORT,-0.4534481236069601,0.04154521048599562,1.1923133511230042,0.6410445037433475,1.1923133511230042,False,False,ok
2026-01-16 15:00:00+00:00,DOGEUSDT,SHORT,0.24315224405052815,0.035599444951567374,0.7780162727593958,-0.7399457574686806,0.7780162727593958,False,False,ok
2026-01-20 06:00:00+00:00,ETHUSDT,SHORT,0.006642202015746612,0.03313308629918994,0.7,-1.2797697326838031,0.6160690801948591,True,False,ok
2026-01-25 16:00:00+00:00,LINKUSDT,SHORT,0.08545041919306502,0.03073224746595388,0.7,-1.7462607651366804,0.47612177045899595,True,False,ok
2026-01-29 14:00:00+00:00,AVAXUSDT,SHORT,-0.1915650881037727,0.03353200207841084,0.718226058639875,-0.9392464712004165,0.718226058639875,False,False,ok
2026-01-31 08:00:00+00:00,XRPUSDT,SHORT,-0.1582255685851488,0.04263448613077597,1.3,1.119243030346607,1.335772909103982,False,True,ok
2026-02-04 17:00:00+00:00,BTCUSDT,SHORT,-0.2393648312045399,0.03505804164381502,0.8270149551980978,-0.5766168160063408,0.8270149551980978,False,False,ok
2026-02-05 03:00:00+00:00,XRPUSDT,SHORT,-0.26626293745167706,0.04786732976348174,1.3,2.5734948919428433,1.772048467582853,False,True,ok
