2026-02-12 08:36:23.718 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:36:23.723 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 08:41:41.336 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:41:41.337 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 9 → HALT
2026-02-12 08:41:41.337 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:41:41.338 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:41:41.338 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 10 → HALT
2026-02-12 08:41:41.338 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:41:41.343 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 08:46:59.145 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:46:59.145 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 11 → HALT
2026-02-12 08:46:59.145 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:46:59.146 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:46:59.146 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 12 → HALT
2026-02-12 08:46:59.147 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:46:59.152 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 08:52:16.980 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:52:16.981 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 13 → HALT
2026-02-12 08:52:16.981 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:52:16.981 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:52:16.982 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 14 → HALT
2026-02-12 08:52:16.982 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:52:16.987 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 08:57:34.933 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:57:34.933 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 15 → HALT
2026-02-12 08:57:34.933 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:57:34.934 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:57:34.934 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 16 → HALT
2026-02-12 08:57:34.934 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 08:57:34.939 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
