run,n_trades,final_equity,total_return,sharpe,max_dd,profit_factor,win_rate,avg_pnl,regime_halts,phaseb_skips,phaseb_sizing_logs,size_mult_mean,size_mult_var,clip_rate_total,score_pnl_spearman,method,alpha,k,min_mult,max_mult,score
fine_linear,24,110547.59334230844,0.10547593342308435,1.5852766790058304,-0.07288330314923015,2.080074614175043,0.375,439.4830559295178,9,0,16,1.0092464240334065,7.161511960066118e-07,0.0,0.24303172770082207,linear_z,1.0,0.3,0.7,1.3,110702.47684505155
fine_linear,24,110547.59334230844,0.10547593342308435,1.5852766790058304,-0.07288330314923015,2.080074614175043,0.375,439.4830559295178,9,0,16,1.0092464240334065,7.161511960066118e-07,0.0,0.24303172770082207,linear_z,1.0,0.3,0.68,1.32,110702.47684505155
fine_linear,24,110547.59334230844,0.10547593342308435,1.5852766790058304,-0.07288330314923015,2.080074614175043,0.375,439.4830559295178,9,0,16,1.0092464240334065,7.161511960066118e-07,0.0,0.24303172770082207,linear_z,1.0,0.3,0.65,1.35,110702.47684505155
fine_linear,24,110547.59334230844,0.10547593342308435,1.5852766790058304,-0.07288330314923015,2.080074614175043,0.375,439.4830559295178,9,0,16,1.0092464240334065,7.161511960066118e-07,0.0,0.24303172770082207,linear_z,1.0,0.3,0.8,1.2,110702.47684505155
fine_linear,24,110543.78395518671,0.10543783955186707,1.5852180494010635,-0.07286188905983376,2.0800051883205124,0.375,439.3243314661113,9,0,16,1.0089382098989594,6.692035064906486e-07,0.0,0.24303172770082207,linear_z,1.0,0.29,0.7,1.3,110698.66266567382
fine_linear,24,110543.78395518671,0.10543783955186707,1.5852180494010635,-0.07286188905983376,2.0800051883205124,0.375,439.3243314661113,9,0,16,1.0089382098989594,6.692035064906486e-07,0.0,0.24303172770082207,linear_z,1.0,0.29,0.68,1.32,110698.66266567382
fine_linear,24,110543.78395518671,0.10543783955186707,1.5852180494010635,-0.07286188905983376,2.0800051883205124,0.375,439.3243314661113,9,0,16,1.0089382098989594,6.692035064906486e-07,0.0,0.24303172770082207,linear_z,1.0,0.29,0.65,1.35,110698.66266567382
fine_linear,24,110543.78395518671,0.10543783955186707,1.5852180494010635,-0.07286188905983376,2.0800051883205124,0.375,439.3243314661113,9,0,16,1.0089382098989594,6.692035064906486e-07,0.0,0.24303172770082207,linear_z,1.0,0.29,0.8,1.2,110698.66266567382
fine_linear,24,110539.95302294538,0.10539953022945381,1.5851585994849202,-0.07284049373033075,2.0799338420142415,0.375,439.1647092893914,9,0,16,1.0086299957645126,6.238472640768313e-07,0.0,0.24303172770082207,linear_z,1.0,0.28,0.7,1.3,110694.82685820735
fine_linear,24,110539.95302294538,0.10539953022945381,1.5851585994849202,-0.07284049373033075,2.0799338420142415,0.375,439.1647092893914,9,0,16,1.0086299957645126,6.238472640768313e-07,0.0,0.24303172770082207,linear_z,1.0,0.28,0.68,1.32,110694.82685820735
fine_linear,24,110539.95302294538,0.10539953022945381,1.5851585994849202,-0.07284049373033075,2.0799338420142415,0.375,439.1647092893914,9,0,16,1.0086299957645126,6.238472640768313e-07,0.0,0.24303172770082207,linear_z,1.0,0.28,0.65,1.35,110694.82685820735
fine_linear,24,110539.95302294538,0.10539953022945381,1.5851585994849202,-0.07284049373033075,2.0799338420142415,0.375,439.1647092893914,9,0,16,1.0086299957645126,6.238472640768313e-07,0.0,0.24303172770082207,linear_z,1.0,0.28,0.8,1.2,110694.82685820735
fine_linear,24,110536.13418661708,0.10536134186617084,1.5850982206666329,-0.07281934516405017,2.079861160483183,0.375,439.00559110904516,9,0,16,1.0083217816300658,5.800824687653927e-07,0.0,0.24303172770082207,linear_z,1.0,0.27,0.7,1.3,110691.00304142555
