run,n_trades,final_equity,total_return,sharpe,max_dd,profit_factor,win_rate,avg_pnl,regime_halts,phaseb_skips,phaseb_sizing_logs,size_mult_mean,size_mult_var,clip_rate_total,score_pnl_spearman,phaseb_enabled,sizing_enabled,method,alpha,k,min_mult,max_mult
phaseb_sizing_off_20260215,24,110433.10957647196,0.1043310957647196,1.5835127498863195,-0.0722415313132572,2.0779573648773995,0.375,434.7128990196649,9,0,16,1.0,0.0,0.0,0.243031727700822,True,False,,,,,
phaseb_sizing_on_20260215,24,110461.68943262476,0.1046168943262475,1.5839550636010435,-0.0724019675620471,2.078487724707796,0.375,435.90372635936416,9,0,16,1.002311418261492,4.473552609686728e-08,0.0,0.243031727700822,True,True,sigmoid_z,1.0,0.15,0.7,1.3
phaseb_sizing_on_best_fine_20260215,24,110547.59334230844,0.10547593342308435,1.5852766790058304,-0.07288330314923015,2.080074614175043,0.375,439.4830559295178,9,0,16,1.0092464240334065,7.161511960066118e-07,0.0,0.24303172770082207,True,True,linear_z,1.0,0.3,0.7,1.3
